missy -> nebek, addax, cocco, grrrl, zhuzh, pfftt
mummy -> swans/snaws, effed, kibbi, cocco, grrrl, phpht
chalk -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, gynny, bombo, jujus, xviii, pfftt
stick -> qajaq, mundu, hyphy, feeze, grrrl, oxbow
lipid -> buffs, qajaq, morro/mormo/moror, cwtch, keeve, gynny
click -> hexes, qajaq, urubu, gynny, modom/odoom, pfftt
scram -> ovolo, kibbi, gynny, jeeze, hudud, pfftt
gnash -> kudzu, civic, emmew, xylyl, robbo, pfftt
affix -> kudzu, cocco, grrrl, mebbe, phpht, wynns
stiff -> neemb, qajaq, kudzu, hyphy, cocco, grrrl
sword -> nebek, qajaq, civic, xylyl, zhuzh, pfftt
plunk -> qajaq, cwtch, gobbo, fyrds, mezze, xviii
bleed -> moron, qajaq, kuzus, cwtch, gyppy, xviii
clash -> kudzu, emmew, gynny, robbo, xviii, pfftt
comic -> addax, keeve, grrrl, zhuzh, wynns, pfftt
swarm -> nebek, civic, xylyl, doggo/goodo, zhuzh, pfftt
puffy -> nebek, qajaq, cwtch, grrls, xviii, modom/odoom
flask -> modoc, urubu, gynny, jeeze, xviii, phpht
comfy -> nebek, sudds, qajaq, grrrl, xviii, phpht
larva -> pudus/spuds, cwtch, gynny, jeeze, immix, boffo
undue -> qajaq, civic, grrrl, skyfs, bombo, phpht
expel -> buffs, qajaq, vizir, cwtch, gynny, modom/odoom
fizzy -> nebek, addax, cocco, grrrl, jujus, phpht
freed/defer -> swans/snaws, kibbi, cocco, jugum, xylyl, phpht
press/spree -> filii, qajaq, kudzu, cwtch, gynny, bombo
cheek/check -> wrong/grown, sudds, qajaq, xylyl, zimbi, pfftt
hutch -> femme, addax, kibbi, zoppo, grrrl, wynns
musky -> infix, qajaq, cwtch, zoppo, grrrl, ebbed
frisk -> ovolo, qajaq, cwtch, exeem/exeme, gyppy, bundu
crumb -> swans/snaws, hoogo/hogoh, xylyl, jeeze, vivid, pfftt
spell/sleep -> fromm/froom, qajaq, kudzu, cwtch, gynny, xviii
modem -> qajaq, civic, grrrl, zhuzh, wynns, pfftt
grown/wrong -> cheek/check/keech, sudds, qajaq, xylyl, zimbi, pfftt
bevel -> pudus/spuds, qajaq, cwtch, gynny, zokor, immix
catch/hatch -> kudzu, peepe, grrrl, immix, boffo, wynns
wheel -> kabar/bakra, sudds, cocco, gynny, immix, pfftt
swing -> bevel/belve, qajaq, kudzu, cocco, myrrh/rhymy, pfftt
flock -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, bubus/bussu, gynny, immix, phpht
munch -> patta/attap/tappa, jeeze, grrrl, skyfs, vivid, oxbow
scene -> moody/doomy, qajaq, kibbi, grrrl, zhuzh, pfftt
unzip -> qajaq, cwtch, grrrl, skyfs, vexed, bombo
skunk -> bevel/belve, qajaq, cwtch, gyppy, zorro, immix
blimp -> addax, cwtch, keeve, gynny, fuffs, zorro
brawn -> sughs, civic, xylyl, jeeze, modom/odoom, pfftt
flank -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, cwtch, gyppy, bombo, jujus, xviii
rajah -> nebek, civic, xylyl, doggo/goodo, susus, pfftt
greed -> swans/snaws, civic, xylyl, bombo, zhuzh, pfftt
scant -> kudzu, hyphy, emmew, grrrl, xviii, boffo
cross -> nebek, qajaq, xylyl, vivid, zhuzh, pfftt
scold -> femme, qajaq, urubu, gynny, xviii, phpht
crank -> sughs, xylyl, jeeze, vivid, bombo, pfftt
class -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, gynny, bombo, xviii, zhuzh, pfftt
scorn -> qajaq, begem, xylyl, vivid, zhuzh, pfftt
venue -> addax, cocco, grrrl, skyfs, zimbi, phpht
booze -> qajaq, civic, mundu, grrrl, skyfs, phpht
pound -> qajaq, cwtch, grrrl, skyfs, mebbe, xviii
slurp -> qajaq, effed, cwtch, gynny, bombo, xviii
abyss -> infix, kudzu, cocco, emmew, grrrl, phpht
spoof -> nebek, qajaq, cwtch, dummy/muddy, grrrl, xviii
verve -> swans/snaws, modoc, kibbi, xylyl, zhuzh, pfftt
kebab -> modoc, grrrl, xviii, zhuzh, wynns, pfftt
cinch -> emmys/messy, qajaq, kudzu, grrrl, oxbow, pfftt
kayak -> pudus/spuds, infix, cwtch, jeeze, grrrl, bombo
honor -> swizz, qajaq, edged/egged, xylyl, bucku, pfftt
excel -> buffs, qajaq, vizir, gynny, modom/odoom, phpht
comma -> kibbi, jeeze, grrrl, wynns, hudud, pfftt
ninny -> pudus/spuds, qajaq, cwtch, keeve, grrrl, bombo
verse/serve/sever -> infix, qajaq, kudzu, bobol, cwtch, gyppy
shorn -> qajaq, begem, kudzu, civic, xylyl, pfftt
swoop -> infix, qajaq, grrrl, mythy/thymy, bucku, deeve
vodka -> buchu, jeeze, grrrl, immix, wynns, pfftt
black -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, gynny, sowms, xviii, zhuzh, pfftt
fluff -> nebek, rasas/arars/arras, cwtch, gyppy, xviii, modom/odoom
nasal -> femme, kudzu, cwtch, gyppy, robbo, xviii
crowd -> nebek, qajaq, miggs/gisms, xylyl, zhuzh, pfftt
papal -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, kuzus, cwtch, gynny, immix, boffo
showy -> neemb, qajaq, kudzu, civic, grrrl, pfftt
crook/crock -> swans/snaws, begem, xylyl, vivid, zhuzh, pfftt
undid -> cezve, qajaq, grrrl, skyfs, bombo, phpht
wound -> cezve, qajaq, grrrl, skyfs, immix, phpht
civic -> wrong/grown, buffs, qajaq, deked, xylyl, phpht
sissy -> nebek, addax, cocco, grrrl, zhuzh, pfftt
needy -> buffs, qajaq, cwtch, zoppo, grrrl, immix
canny -> buffs, weeke, grrrl, xviii, modom/odoom, phpht
lurch -> swizz, addax, keeve, gynny, bombo, pfftt
humus -> wrong/grown, cezve, qajaq, kibbi, xylyl, pfftt
shook -> buzzy, addax, civic, emmew, grrrl, pfftt
grind -> cheek/check/keech, qajaq, xylyl, bombo, susus, pfftt
harsh -> nebek, cocco, jugum, xylyl, vivid, pfftt
verge -> swans/snaws, modoc, kibbi, xylyl, zhuzh, pfftt
geese -> brawn, civic, xylyl, zhuzh, modom/odoom, pfftt
krill -> pudus/spuds, qajaq, cwtch, exeem/exeme, gynny, boffo
dunce -> qajaq, grrrl, skyfs, bombo, xviii, phpht
never/nerve -> slobs/bolos/bools/lobos/obols/blobs/bolls, qajaq, kudzu, cwtch, gyppy, immix
slyly -> wrong/grown, femme, qajaq, kudzu, civic, phpht
ember -> swans/snaws, kudzu, ghyll, cocco, xviii, pfftt
skull/skulk -> moron, qajaq, effed, cwtch, gyppy, xviii
femme -> wrong/grown, sudds, qajaq, civic, xylyl, phpht
hunky -> swizz, addax, cocco, grrrl, mebbe, pfftt
flunk -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, boobs/bobos/obbos, cwtch, gyppy, immix
thumb -> addax, civic, peepe, nonno, grrrl, skyfs
staff -> neemb, kudzu, hyphy, cocco, grrrl, xviii
brisk -> femme, qajaq, undug, cwtch, zoppo, xylyl
brook -> swans/snaws, edged/egged, civic, xylyl, zhuzh, pfftt
chard -> lusus/sulus/sulls/lulls/lulus, weeke, gynny, bombo, xviii, pfftt
bushy -> kneed, qajaq, cocco, grrrl, immix, pfftt
smack -> buzzy, effed, nonno, grrrl, xviii, phpht
snoop/spoon -> biffy, qajaq, kudzu, cwtch, exeem/exeme, grrrl
lever/revel -> pudus/spuds, qajaq, cwtch, gynny, immix, boffo
skill -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, cocco, gynny, zhuzh, pfftt
swill -> cheek/check/keech, qajaq, urubu, gynny, modom/odoom, pfftt
shrub/brush -> cleck/cleek, qajaq, gynny, xviii, modom/odoom, pfftt
chasm -> buzzy, weeke, nonno, grrrl, vivid, pfftt
lynch -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, kuzus, gobbo, immix, pfftt
wryly -> nebek, sughs, qajaq, modoc, xviii, pfftt
smell -> infix, qajaq, kudzu, cwtch, gyppy, robbo
finch -> qajaq, kudzu, peepe, stymy, grrrl, oxbow
mushy -> nebek, qajaq, cocco, grrrl, vivid, pfftt
civil -> nebek, qajaq, doggo/goodo, myrrh/rhymy, susus, pfftt
moody -> swans/snaws, chuck, jeeze, grrrl, xviii, pfftt
cliff -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, kuzus, gynny, bombo, phpht
scoop -> qajaq, dukun, feeze, grrrl, xviii, mythy/thymy
bongo -> pudus/spuds, femme, qajaq, vizir, cwtch, xylyl
ovoid -> femme, qajaq, grrrl, bucku, phpht, wynns
chump -> tekke, qajaq, grrrl, vivid, boffo, wynns
knack -> pudus/spuds, jeeze, grrrl, xviii, mythy/thymy, boffo
swell -> fromm/froom, qajaq, kudzu, civic, gynny, phpht
husky -> neemb, qajaq, cocco, grrrl, vivid, pfftt
winch -> moody/doomy, qajaq, keeve, bubus/bussu, grrrl, pfftt
slunk -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, cwtch, gyppy, immix, boffo
weedy -> infix, qajaq, omovs, grrrl, bucku, phpht
shell -> qajaq, vizir, gynny, bucku, modom/odoom, pfftt
drawl -> cheek/check/keech, gynny, bombo, jujus, xviii, pfftt
naval -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, kuzus, cwtch, gyppy, immix, boffo
dusky -> infix, cezve, qajaq, grrrl, bombo, phpht
tweet -> infix, sudds, qajaq, hyphy, cocco, grrrl
caddy -> nebek, grrrl, sowms, xviii, zhuzh, pfftt
scarf -> kudzu, bobol, emmew, gynny, xviii, phpht
buxom -> cheek/check/keech, qajaq, grrrl, vivid, wynns, pfftt
teeth -> compo, qajaq, kudzu, grrrl, xviii, wynns
kneel -> buffs, qajaq, vizir, cwtch, gyppy, modom/odoom
shiny -> qajaq, kudzu, cocco, exeem/exeme, grrrl, pfftt
skull/skulk -> moron, qajaq, effed, cwtch, gyppy, xviii
chuck -> wrong/grown, qajaq, semee/meses/smees/memes/mesem/seems/semes, xylyl, vivid, pfftt
shock -> buzzy, addax, emmew, jinni, grrrl, pfftt
newer/renew -> buffs, qajaq, civic, xylyl, doggo/goodo, phpht
sniff -> yuppy/puppy, addax, cwtch, keeve, grrrl, bombo
never/nerve -> slobs/bolos/bools/lobos/obols/blobs/bolls, qajaq, kudzu, cwtch, gyppy, immix
