bliss -> pfftt, hudud, keeve, macaw, gynny, zorro
bliss -> pfftt, hudud, vajra, weeke, gynny, zocco
bliss -> pfftt, hudud, vajra, emmew, gynny, zocco
bliss -> pfftt, hudud, vajra, exeem/exeme, gynny, zocco
bliss -> pfftt, hudud, vajra, exeem/exeme, gynny, zocco
bliss -> pfftt, chuck, vroom, addax, gynny, jeeze
bliss -> pfftt, chuck, emmew, addax, gynny, zorro
bliss -> pfftt, uhuru, keeve, addax, gynny, zocco
bliss -> pfftt, uhuru, weeke, addax, gynny, zocco
bliss -> pfftt, uhuru, emmew, addax, gynny, zocco
bliss -> pfftt, vroom, weeke, addax, gynny, zhuzh
