bongo -> papad, kirri, susus, cwtch, xylyl, feeze
bongo -> papad, kirri, susus, cwtch, xylyl, jeeze
bongo -> papad, kirri, susus, cwtch, xylyl, mezze
bongo -> papad, kirri, fuffs, cwtch, xylyl, jeeze
bongo -> papad, kirri, fuffs, cwtch, xylyl, mezze
bongo -> papad, kirri, jujus, cwtch, xylyl, feeze
bongo -> papad, kirri, jujus, cwtch, xylyl, mezze
bongo -> papad, kirri, mumms/mumus, cwtch, xylyl, feeze
bongo -> papad, kirri, mumms/mumus, cwtch, xylyl, jeeze
bongo -> papad, kirri, mumms/mumus, cwtch, xylyl, feeze
bongo -> papad, kirri, mumms/mumus, cwtch, xylyl, jeeze
bongo -> papad, kirri, muffs, cwtch, xylyl, jeeze
bongo -> papad, fifis, muruk, cwtch, xylyl, jeeze
bongo -> papad, fluff, cwtch, immix, skyrs, jeeze
bongo -> papad, fluff, cwtch, xviii, skyrs, jeeze
bongo -> papad, fluff, cwtch, xviii, skyrs, mezze
bongo -> papad, muruk, viffs, cwtch, xylyl, jeeze
bongo -> papad, muruk, cwtch, xviii, slyly, feeze
bongo -> papad, muruk, cwtch, xviii, slyly, jeeze
bongo -> papad, susus, keeve, cwtch, xylyl, frizz
bongo -> papad, jujus, keeve, cwtch, xylyl, frizz
bongo -> papad, mumms/mumus, keeve, cwtch, xylyl, frizz
bongo -> papad, mumms/mumus, keeve, cwtch, xylyl, frizz
bongo -> peepe, qajaq, kirri, susus, cwtch, xylyl
bongo -> peepe, qajaq, kirri, sudds, cwtch, xylyl
bongo -> peepe, qajaq, kirri, fuffs, cwtch, xylyl
bongo -> peepe, qajaq, kirri, duffs/dufus, cwtch, xylyl
bongo -> peepe, qajaq, kirri, duffs/dufus, cwtch, xylyl
bongo -> peepe, qajaq, kirri, mumms/mumus, cwtch, xylyl
bongo -> peepe, qajaq, kirri, mumms/mumus, cwtch, xylyl
bongo -> peepe, qajaq, kirri, muffs, cwtch, xylyl
bongo -> peepe, qajaq, mirid, susus, cwtch, xylyl
bongo -> peepe, qajaq, mirid, fuffs, cwtch, xylyl
bongo -> peepe, qajaq, mirid, kukus/sukuk, cwtch, xylyl
bongo -> peepe, qajaq, mirid, kukus/sukuk, cwtch, xylyl
bongo -> peepe, qajaq, mirid, fusks, cwtch, xylyl
bongo -> peepe, qajaq, mirid, cwtch, xylyl, kuzus
bongo -> peepe, qajaq, didis, muruk, cwtch, xylyl
