breed -> accas/casas/cacas, pfftt, ovolo, immix, gynny, zhuzh
breed -> accas/casas/cacas, pfftt, ovolo, immix, gynny, zhuzh
breed -> accas/casas/cacas, pfftt, ovolo, immix, gynny, zhuzh
breed -> faffs, phpht, jugum, civic, known, xylyl
breed -> faffs, phpht, jugum, kwink, xylyl, zocco
breed -> sagas/saags, pfftt, civic, known, xylyl, zhuzh
breed -> sagas/saags, pfftt, civic, known, xylyl, zhuzh
breed -> shash/hahas/shahs, pfftt, jugum, civic, known, xylyl
breed -> shash/hahas/shahs, pfftt, jugum, kwink, xylyl, zocco
breed -> shash/hahas/shahs, pfftt, jugum, civic, known, xylyl
breed -> shash/hahas/shahs, pfftt, jugum, kwink, xylyl, zocco
breed -> shash/hahas/shahs, pfftt, jugum, civic, known, xylyl
breed -> shash/hahas/shahs, pfftt, jugum, kwink, xylyl, zocco
breed -> fifis, phpht, jugum, wanna, xylyl, zocco
breed -> shish, pfftt, jugum, wanna, xylyl, zocco
breed -> jagas/jaggs, pfftt, civic, known, xylyl, zhuzh
breed -> jagas/jaggs, pfftt, civic, known, xylyl, zhuzh
breed -> akkas/kakas, pfftt, jugum, civic, nohow, xylyl
breed -> akkas/kakas, pfftt, jugum, convo, xylyl, whizz
breed -> akkas/kakas, pfftt, ovolo, immix, gynny, zhuzh
breed -> akkas/kakas, phpht, fluff, immix, gynny, zocco
breed -> akkas/kakas, phpht, fluff, xviii, gynny, zocco
breed -> akkas/kakas, fluff, cwtch, immix, gynny, zoppo
breed -> akkas/kakas, fluff, cwtch, xviii, gynny, zoppo
breed -> akkas/kakas, pfftt, jugum, civic, nohow, xylyl
breed -> akkas/kakas, pfftt, jugum, convo, xylyl, whizz
breed -> akkas/kakas, pfftt, ovolo, immix, gynny, zhuzh
breed -> akkas/kakas, phpht, fluff, immix, gynny, zocco
breed -> akkas/kakas, phpht, fluff, xviii, gynny, zocco
breed -> akkas/kakas, fluff, cwtch, immix, gynny, zoppo
breed -> akkas/kakas, fluff, cwtch, xviii, gynny, zoppo
breed -> casks/kacks/sacks/cacks, pfftt, ovolo, immix, gynny, zhuzh
breed -> casks/kacks/sacks/cacks, pfftt, ovolo, immix, gynny, zhuzh
breed -> casks/kacks/sacks/cacks, pfftt, ovolo, immix, gynny, zhuzh
breed -> casks/kacks/sacks/cacks, pfftt, ovolo, immix, gynny, zhuzh
breed -> fisks/skiff, phpht, jugum, wanna, xylyl, zocco
breed -> fisks/skiff, phpht, jugum, wanna, xylyl, zocco
breed -> jacks, pfftt, ovolo, immix, gynny, zhuzh
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, pfftt, civic, known, xylyl, zhuzh
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, phpht, fluff, xviii, gynny, zocco
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, fluff, cwtch, xviii, gynny, zoppo
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, pfftt, civic, known, xylyl, zhuzh
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, phpht, fluff, xviii, gynny, zocco
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, fluff, cwtch, xviii, gynny, zoppo
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, pfftt, civic, known, xylyl, zhuzh
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, phpht, fluff, xviii, gynny, zocco
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, fluff, cwtch, xviii, gynny, zoppo
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, pfftt, civic, known, xylyl, zhuzh
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, phpht, fluff, xviii, gynny, zocco
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, fluff, cwtch, xviii, gynny, zoppo
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, pfftt, civic, known, xylyl, zhuzh
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, phpht, fluff, xviii, gynny, zocco
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, fluff, cwtch, xviii, gynny, zoppo
breed -> assam/masas/mamas/msasa/amass/massa/samas/ammas, pfftt, civic, known, xylyl, zhuzh
