class -> pfftt, hudud, keeve, immix, gynny, zorro
class -> pfftt, hudud, weeke, immix, gynny, zorro
class -> pfftt, hudud, weeke, xviii, gynny, zorro
class -> pfftt, hudud, emmew, xviii, gynny, zorro
class -> pfftt, hudud, emmew, xviii, gynny, zokor
class -> pfftt, urubu, vivid, weeke, gynny, zhomo
class -> pfftt, urubu, dewed, xviii, gynny, zhomo
class -> pfftt, urubu, jewed, xviii, gynny, zhomo
class -> pfftt, urubu, weeke, immix, gynny, vozhd
class -> pfftt, urubu, weeke, xviii, gynny, zhomo
class -> pfftt, urubu, ewked, xviii, gynny, zhomo
class -> pfftt, uhuru, vivid, oxbow, gynny, jeeze
class -> pfftt, uhuru, vivid, oxbow, gynny, mezze
class -> pfftt, muruk, vivid, oxbow, gynny, heeze
class -> pfftt, muruk, vivid, oxbow, gynny, jeeze
class -> phpht, muruk, vivid, oxbow, gynny, feeze
class -> phpht, muruk, vivid, oxbow, gynny, jeeze
