crass -> pfftt, hudud, villi, oxbow, gynny, jeeze
crass -> pfftt, hudud, villi, oxbow, gynny, mezze
crass -> pfftt, hudud, ovolo, weeke, immix, gynny
crass -> pfftt, hudud, ovolo, weeke, gynny, zimbi
crass -> pfftt, hudud, ovolo, immix, gynny, jeeze
crass -> pfftt, jugum, vivid, known, xylyl, heeze
crass -> pfftt, keeve, woold, immix, gynny, zhuzh
crass -> pfftt, ovolo, dewed, immix, gynny, zhuzh
crass -> pfftt, ovolo, dweeb/bedew, immix, gynny, zhuzh
crass -> pfftt, ovolo, dweeb/bedew, immix, gynny, zhuzh
crass -> pfftt, ovolo, jewed, immix, gynny, zhuzh
crass -> pfftt, ovolo, weeke, immix, gynny, zhuzh
crass -> pfftt, ovolo, ewked, immix, gynny, zhuzh
crass -> phpht, fluff, vivid, oxbow, gynny, jeeze
crass -> phpht, fluff, vivid, oxbow, gynny, mezze
crass -> phpht, jugum, vivid, known, xylyl, feeze
