harsh -> pfftt, bucku, vivid, emmew, xylyl, gonzo
harsh -> pfftt, bucku, ovolo, dewed, immix, gynny
harsh -> pfftt, bucku, ovolo, jewed, immix, gynny
harsh -> pfftt, bucku, ovolo, immix, gynny, jeeze
harsh -> pfftt, bucku, woold, immix, gynny, jeeze
harsh -> pfftt, bucku, woold, xviii, gynny, jeeze
harsh -> pfftt, bucku, woold, xviii, gynny, mezze
harsh -> pfftt, cluck, vivid, oxbow, gynny, jeeze
harsh -> pfftt, cluck, vivid, oxbow, gynny, mezze
harsh -> pfftt, jugum, deeve, kwink, xylyl, zocco
harsh -> pfftt, jugum, vivid, weeke, xylyl, zocco
harsh -> pfftt, jugum, vivid, known, xylyl, zebec
harsh -> pfftt, ungum, vivid, weeke, xylyl, zocco
