sleek -> pfftt, hudud, civic, oxbow, gynny, mazar
sleek -> pfftt, hudud, brava, immix, gynny, zocco
sleek -> pfftt, hudud, vajra, immix, gynny, zocco
sleek -> pfftt, hudud, macaw, xviii, gynny, zorro
sleek -> pfftt, bundu, wagga, xviii, rhymy/myrrh, zocco
sleek -> pfftt, bundu, wagga, xviii, rhymy/myrrh, zocco
sleek -> pfftt, urubu, civic, addax, gynny, zhomo
sleek -> pfftt, urubu, vivid, mahwa, gynny, zocco
sleek -> pfftt, urubu, dawah, immix, gynny, zocco
sleek -> pfftt, urubu, dawah, xviii, gynny, zocco
sleek -> pfftt, urubu, mahwa, xviii, gynny, zocco
sleek -> pfftt, uhuru, vivid, oxbow, gynny, zamac/mazac
sleek -> pfftt, uhuru, vivid, oxbow, gynny, zamac/mazac
