sniff -> phpht, bucku, deeve, wagga, xylyl, zorro
sniff -> phpht, bucku, meved, wagga, xylyl, zorro
sniff -> phpht, bucku, vroom, wagga, xylyl, jeeze
sniff -> phpht, jugum, keeve, adraw/award, xylyl, zocco
sniff -> phpht, jugum, keeve, adraw/award, xylyl, zocco
sniff -> phpht, jugum, keeve, addax, wryly, zocco
sniff -> phpht, jugum, brava, dewed, xylyl, zocco
sniff -> phpht, jugum, brava, weeke, xylyl, zocco
sniff -> phpht, jugum, brava, ewked, xylyl, zocco
sniff -> phpht, jugum, varda, weeke, xylyl, zocco
sniff -> phpht, urubu, deeve, wagga, xylyl, zocco
sniff -> phpht, urubu, keeve, wagga, xylyl, zocco
sniff -> phpht, urubu, meved, wagga, xylyl, zocco
sniff -> phpht, durum, keeve, wagga, xylyl, zocco
sniff -> phpht, muruk, deeve, wagga, xylyl, zocco
sniff -> urubu, ovolo, cwtch, addax, gyppy, jeeze
sniff -> urubu, ovolo, cwtch, addax, gyppy, mezze
sniff -> urubu, ovolo, cwtch, addax, pygmy, jeeze
sniff -> muruk, ovolo, cwtch, addax, gyppy, jeeze
