chess -> pfftt, jugum, vivid, wanna, xylyl, zorro
chess -> pfftt, jugum, vivid, wanna, xylyl, zokor
chess -> pfftt, jugum, vivid, nawab/bwana, xylyl, zorro
chess -> pfftt, jugum, vivid, nawab/bwana, xylyl, zokor
chess -> pfftt, jugum, vivid, nawab/bwana, xylyl, zorro
chess -> pfftt, jugum, vivid, nawab/bwana, xylyl, zokor
chess -> pfftt, jugum, vivid, known, xylyl, bazar/braza/zabra
chess -> pfftt, jugum, vivid, known, xylyl, bazar/braza/zabra
chess -> pfftt, jugum, vivid, known, xylyl, bazar/braza/zabra
chess -> pfftt, urubu, woold, xviii, gynny, zamak/mazak
chess -> pfftt, urubu, woold, xviii, gynny, zamak/mazak
