chord -> bibis/sibbs/bibbs, pfftt, jugum, keeve, wanna, xylyl
chord -> bibis/sibbs/bibbs, pfftt, jugum, keeve, xylyl, zanza
chord -> bibis/sibbs/bibbs, pfftt, jugum, weeke, xylyl, zanza
chord -> bibis/sibbs/bibbs, pfftt, jugum, keeve, wanna, xylyl
chord -> bibis/sibbs/bibbs, pfftt, jugum, keeve, xylyl, zanza
chord -> bibis/sibbs/bibbs, pfftt, jugum, weeke, xylyl, zanza
chord -> bibis/sibbs/bibbs, pfftt, jugum, keeve, wanna, xylyl
chord -> bibis/sibbs/bibbs, pfftt, jugum, keeve, xylyl, zanza
chord -> bibis/sibbs/bibbs, pfftt, jugum, weeke, xylyl, zanza
chord -> pfftt, jugum, keeve, iiwis/swiss, xylyl, zanza
chord -> pfftt, jugum, keeve, iiwis/swiss, xylyl, zanza
chord -> pfftt, jugum, weeke, xviii, slyly, zanza
chord -> pfftt, susus, keeve, wagga, xylyl, zimbi
chord -> pfftt, susus, keeve, walla, immix, gynny
chord -> pfftt, susus, keeve, walla, gynny, zimbi
chord -> pfftt, susus, keeve, wanna, xylyl, zimbi
chord -> pfftt, susus, keeve, gnawn, xylyl, zimbi
chord -> pfftt, susus, keeve, ajwan/jawan, xylyl, zimbi
chord -> pfftt, susus, keeve, ajwan/jawan, xylyl, zimbi
chord -> pfftt, susus, laval, weeke, immix, gynny
chord -> pfftt, susus, laval, weeke, gynny, zimbi
chord -> pfftt, susus, laval, immix, gynny, jeeze
chord -> pfftt, susus, kaval, immix, gynny, jeeze
chord -> pfftt, susus, eeven, wagga, xylyl, zimbi
chord -> pfftt, susus, vanga, weeke, xylyl, zimbi
chord -> pfftt, susus, walla, immix, gynny, jeeze
chord -> pfftt, susus, walla, xviii, gynny, jeeze
chord -> pfftt, susus, walla, xviii, gynny, mezze
chord -> pfftt, susus, jewel, xviii, gynny, zamak/mazak
chord -> pfftt, susus, jewel, xviii, gynny, zamak/mazak
chord -> pfftt, susus, malwa/mawla, xviii, gynny, jeeze
