drama -> esses, pfftt, bucku, ovolo, gynny, whizz
drama -> esses, pfftt, chuck, villi, oxbow, gynny
drama -> esses, pfftt, civic, known, xylyl, zhuzh
drama -> esses, pfftt, civic, oxbow, gynny, zhuzh
drama -> esses, pfftt, villi, oxbow, gynny, zhuzh
drama -> esses, pfftt, civil, oxbow, gynny, zhuzh
drama -> esses, phpht, fluff, civic, oxbow, gynny
drama -> esses, phpht, fluff, xviii, gynny, zocco
drama -> esses, phpht, bluff, xviii, gynny, zocco
drama -> esses, fluff, cwtch, xviii, gynny, zoppo
drama -> esses, bluff, cwtch, xviii, gynny, zoppo
drama -> besee/beses, pfftt, civic, known, xylyl, zhuzh
drama -> besee/beses, phpht, fluff, xviii, gynny, zocco
drama -> besee/beses, fluff, cwtch, xviii, gynny, zoppo
drama -> besee/beses, pfftt, civic, known, xylyl, zhuzh
drama -> besee/beses, phpht, fluff, xviii, gynny, zocco
drama -> besee/beses, fluff, cwtch, xviii, gynny, zoppo
drama -> cesse, pfftt, villi, oxbow, gynny, zhuzh
drama -> gesse/geese, pfftt, civic, known, xylyl, zhuzh
drama -> gesse/geese, pfftt, civic, known, xylyl, zhuzh
drama -> bibis/sibbs/bibbs, pfftt, chuck, ovolo, gynny, jeeze
drama -> bibis/sibbs/bibbs, pfftt, ovolo, weeke, gynny, zhuzh
drama -> bibis/sibbs/bibbs, pfftt, convo, weeke, xylyl, zhuzh
drama -> bibis/sibbs/bibbs, phpht, fluff, keeve, gynny, zocco
drama -> bibis/sibbs/bibbs, phpht, fluff, weeke, gynny, zocco
drama -> bibis/sibbs/bibbs, fluff, keeve, cwtch, gynny, zoppo
drama -> bibis/sibbs/bibbs, pfftt, chuck, ovolo, gynny, jeeze
drama -> bibis/sibbs/bibbs, pfftt, ovolo, weeke, gynny, zhuzh
drama -> bibis/sibbs/bibbs, pfftt, convo, weeke, xylyl, zhuzh
drama -> bibis/sibbs/bibbs, phpht, fluff, keeve, gynny, zocco
drama -> bibis/sibbs/bibbs, phpht, fluff, weeke, gynny, zocco
drama -> bibis/sibbs/bibbs, fluff, keeve, cwtch, gynny, zoppo
drama -> bibis/sibbs/bibbs, pfftt, chuck, ovolo, gynny, jeeze
drama -> bibis/sibbs/bibbs, pfftt, ovolo, weeke, gynny, zhuzh
drama -> bibis/sibbs/bibbs, pfftt, convo, weeke, xylyl, zhuzh
drama -> bibis/sibbs/bibbs, phpht, fluff, keeve, gynny, zocco
