drink -> esses, pfftt, jugum, bhava, xylyl, zocco
drink -> momos/mosso/sooms, pfftt, buchu, wagga, xylyl, jeeze
drink -> momos/mosso/sooms, pfftt, buchu, wagga, xylyl, jeeze
drink -> momos/mosso/sooms, pfftt, buchu, wagga, xylyl, jeeze
drink -> pfftt, buchu, omovs, wagga, xylyl, jeeze
drink -> pfftt, jugum, bhava, swees, xylyl, zocco
drink -> pfftt, susus, bhava, emmew, xylyl, zocco
drink -> pfftt, susus, vehme, wagga, xylyl, zocco
drink -> pfftt, bussu/bubus, vehme, wagga, xylyl, zocco
drink -> pfftt, bussu/bubus, vehme, wagga, xylyl, zocco
drink -> pfftt, jujus, bhava, emmew, xylyl, zocco
drink -> pfftt, jujus, vehme, wagga, xylyl, zocco
drink -> phpht, susus, wagga, exeem/exeme, flyby, zocco
drink -> phpht, susus, wagga, exeem/exeme, flyby, zocco
drink -> phpht, jujus, wagga, exeem/exeme, flyby, zocco
drink -> phpht, jujus, wagga, exeem/exeme, flyby, zocco
