sense -> pfftt, buchu, vivid, wagga, xylyl, zorro
sense -> pfftt, buchu, vivid, wagga, xylyl, zokor
sense -> pfftt, hudud, civic, wagga, xylyl, zorro
sense -> pfftt, hudud, civic, wagga, xylyl, zokor
sense -> pfftt, bucku, vivid, wagga, xylyl, zhomo
sense -> pfftt, bucku, vivid, wagga, xylyl, zorro
sense -> pfftt, bucku, vivid, mahwa, xylyl, zorro
sense -> pfftt, bucku, virid, wagga, xylyl, zhomo
sense -> pfftt, bucku, wagga, xviii, dryly, zhomo
sense -> pfftt, chuck, vivid, wagga, xylyl, zorro
sense -> pfftt, jugum, bhava, wirri, xylyl, zocco
sense -> pfftt, jugum, civic, dawah, xylyl, zorro
sense -> pfftt, jugum, civic, dawah, xylyl, zokor
sense -> pfftt, jugum, vivid, chawk/whack, xylyl, zorro
sense -> pfftt, jugum, vivid, chawk/whack, xylyl, zorro
sense -> pfftt, jugum, vivid, chowk, xylyl, bazar/braza/zabra
sense -> pfftt, jugum, vivid, chowk, xylyl, bazar/braza/zabra
sense -> pfftt, jugum, vivid, chowk, xylyl, bazar/braza/zabra
sense -> pfftt, urubu, civic, wagga, xylyl, zhomo
sense -> pfftt, urubu, vivid, wagga, xylyl, zocco
sense -> pfftt, urubu, vivid, wagga, xylyl, zhomo
sense -> pfftt, urubu, vivid, mahwa, xylyl, zocco
sense -> pfftt, uhuru, vivid, wagga, xylyl, zocco
sense -> pfftt, cruck, vivid, wagga, xylyl, zhomo
sense -> pfftt, bruck, vivid, wagga, xylyl, zhomo
sense -> pfftt, rhumb, vivid, wagga, xylyl, zocco
sense -> pfftt, muruk, vivid, wagga, xylyl, zocco
sense -> phpht, bucku, vivid, wagga, xylyl, zorro
sense -> phpht, jugum, civic, addax, flyby, zorro
sense -> phpht, jugum, civic, addax, flyby, zokor
sense -> phpht, jugum, adraw/award, xviii, flyby, zocco
sense -> phpht, jugum, adraw/award, xviii, flyby, zocco
sense -> phpht, jugum, wirri, addax, flyby, zocco
sense -> phpht, urubu, vivid, wagga, xylyl, zocco
sense -> phpht, durum, wagga, xviii, flyby, zocco
sense -> phpht, muruk, vivid, wagga, flyby, zocco
sense -> phpht, muruk, vivid, wagga, xylyl, zocco
sense -> phpht, muruk, wagga, xviii, flyby, zocco
