skill -> pfftt, buchu, vroom, addax, gynny, jeeze
skill -> pfftt, buchu, emmew, addax, gynny, zorro
skill -> pfftt, hudud, brava, emmew, gynny, zocco
skill -> pfftt, hudud, brava, exeem/exeme, gynny, zocco
skill -> pfftt, hudud, brava, exeem/exeme, gynny, zocco
skill -> pfftt, hudud, reeve/verre/verve/eever, oxbow, gynny, zamac/mazac
skill -> pfftt, hudud, reeve/verre/verve/eever, oxbow, gynny, zamac/mazac
skill -> pfftt, hudud, reeve/verre/verve/eever, oxbow, gynny, zamac/mazac
skill -> pfftt, hudud, reeve/verre/verve/eever, oxbow, gynny, zamac/mazac
skill -> pfftt, hudud, reeve/verre/verve/eever, oxbow, gynny, zamac/mazac
skill -> pfftt, hudud, reeve/verre/verve/eever, oxbow, gynny, zamac/mazac
skill -> pfftt, hudud, reeve/verre/verve/eever, oxbow, gynny, zamac/mazac
skill -> pfftt, hudud, reeve/verre/verve/eever, oxbow, gynny, zamac/mazac
skill -> pfftt, hudud, vajra, emmew, gynny, zocco
skill -> pfftt, hudud, vajra, exeem/exeme, gynny, zocco
skill -> pfftt, hudud, vajra, exeem/exeme, gynny, zocco
skill -> pfftt, hudud, vajra, oxbow, gynny, mezze
skill -> pfftt, urubu, deeve, mahwa, gynny, zocco
skill -> pfftt, urubu, vehme, addax, gynny, zocco
skill -> pfftt, urubu, dawah, exeem/exeme, gynny, zocco
skill -> pfftt, urubu, dawah, exeem/exeme, gynny, zocco
skill -> pfftt, urubu, emmew, addax, gynny, zocco
skill -> pfftt, urubu, mahwa, vexed, gynny, zocco
skill -> pfftt, uhuru, deeve, oxbow, gynny, zamac/mazac
skill -> pfftt, uhuru, deeve, oxbow, gynny, zamac/mazac
skill -> pfftt, uhuru, emmew, addax, gynny, zocco
skill -> pfftt, durum, chava, oxbow, gynny, jeeze
skill -> phpht, urubu, emmew, addax, gynny, zocco
