smack -> pfftt, hudud, villi, oxbow, gynny, jeeze
smack -> pfftt, hudud, villi, oxbow, gynny, reeze
smack -> pfftt, hudud, ovolo, wirri, gynny, jeeze
smack -> pfftt, hudud, jewel, xviii, gynny, zorro
smack -> pfftt, urubu, vivid, nohow, xylyl, jeeze
smack -> pfftt, urubu, woold, xviii, gynny, heeze
smack -> pfftt, urubu, woold, xviii, gynny, jeeze
smack -> pfftt, uhuru, vivid, oxbow, gynny, jeeze
smack -> pfftt, uhuru, vivid, oxbow, gynny, leeze
smack -> pfftt, uhuru, villi, oxbow, gynny, jeeze
smack -> pfftt, uhuru, livid, oxbow, gynny, jeeze
smack -> pfftt, uhuru, woold, xviii, gynny, jeeze
smack -> phpht, fluff, vivid, oxbow, gynny, jeeze
smack -> phpht, fluff, vivid, oxbow, gynny, reeze
smack -> phpht, fluff, virid, oxbow, gynny, jeeze
smack -> phpht, fluff, dewed, xviii, gynny, zorro
smack -> phpht, fluff, dweeb/bedew, xviii, gynny, zorro
smack -> phpht, fluff, dweeb/bedew, xviii, gynny, zorro
smack -> phpht, fluff, jewed, xviii, gynny, zorro
smack -> phpht, bluff, dewed, xviii, gynny, zorro
smack -> phpht, bluff, jewed, xviii, gynny, zorro
smack -> phpht, urubu, woold, xviii, gynny, feeze
smack -> phpht, urubu, woold, xviii, gynny, jeeze
smack -> phpht, flurr, vivid, oxbow, gynny, jeeze
